ID,Gender,Gender_num,City,Recruiter,Cluster_ID,step_avg_prepost,group_num,treat_positive,treat_negative,time_post,Compliance,num_read_emails,weight,age,used_ctr_before,activity_level,activity_level_num
1,M,1,Minneapolis,Hyera,22,16972,0,0,0,0,1,0,160,32,1,H,2
2,M,1,New York,Hyera,13,12197,1,1,0,0,1,0,160,42,0,H,2
3,M,1,San Francisco,Giles,104,6146,1,1,0,0,1,0,155,40,1,T,3
4,F,0,New York,Hyera,16,9136,1,1,0,0,1,0,120,28,0,M,1
5,M,1,Montreal,Hyera,24,12815,0,0,0,0,1,0,155,33,1,M,1
6,M,1,New York,Hyera,16,8810,1,1,0,0,1,0,170,31,0,M,1
7,F,0,Montreal,Hyera,8,9000,0,0,0,0,1,0,140,35,1,M,1
8,F,0,San Francisco,Hyera,11,10204,1,1,0,0,1,0,125,37,1,H,2
9,M,1,Portland,Lisa,34,8117,1,1,0,0,1,0,170,30,1,T,3
10,F,0,Loma Linda,Lisa,45,2680,0,0,0,0,1,0,121,57,0,H,2
11,M,1,Falls Church,Giles,111,8596,1,1,0,0,1,0,180,27,0,L,0
12,M,1,New York,Hyera,10,8331,0,0,0,0,1,0,150,32,0,H,2
13,F,0,Montreal,Hyera,14,39,0,0,0,0,1,0,165,35,1,H,2
14,F,0,Winnipeg,Lisa,36,7302,1,1,0,0,1,0,113,29,0,M,1
15,F,0,Napa,Lisa,31,8109,0,0,0,0,1,0,140,28,1,H,2
16,M,1,New York,Hyera,20,6936,2,0,1,0,0,0,170,34,1,M,1
17,F,0,San Francisco,Giles,103,8237,1,1,0,0,1,0,140,28,1,M,1
18,M,1,Washington D.C.,Lisa,46,6931,0,0,0,0,1,0,170,25,1,M,1
19,F,0,Los Angeles,Lisa,45,4580,0,0,0,0,1,0,117,24,0,H,2
20,M,1,Winnipeg,Lisa,36,9295,1,1,0,0,1,0,145,31,0,M,1
21,M,1,Loma Linda,Lisa,45,4773,0,0,0,0,0,0,195,57,0,M,1
22,F,0,Portland,Lisa,41,8217,2,0,1,0,1,0,130,30,1,L,0
23,M,1,Portland,Lisa,34,6899,1,1,0,0,1,0,194,31,1,M,1
24,F,0,New York,Hyera,19,8979,2,0,1,0,1,0,126,26,1,M,1
25,F,0,Spokane,Lisa,35,7302,0,0,0,0,1,0,130,28,1,H,2
26,M,1,San Francisco,Hyera,11,8945,1,1,0,0,1,0,180,30,1,L,0
27,F,0,Washington D.C.,Lisa,50,9374,1,1,0,0,1,0,135,40,1,H,2
28,M,1,Montreal,Hyera,5,6979,0,0,0,0,1,0,190,33,0,L,0
29,F,0,London,Lisa,38,7314,1,1,0,0,1,0,136,35,1,M,1
30,F,0,New York,Hyera,15,7465,2,0,1,0,1,0,110,35,0,L,0
31,F,0,Loma Linda,Lisa,58,3084,1,1,0,0,1,0,87,58,1,M,1
32,F,0,San Francisco,Giles,100,9096,2,0,1,0,1,0,115,29,1,M,1
33,M,1,Oakland,Hyera,25,7622,2,0,1,0,1,0,130,29,1,M,1
34,M,1,Montreal,Hyera,7,7188,2,0,1,0,1,0,165,30,0,M,1
35,M,1,Montreal,Hyera,14,7757,0,0,0,0,1,0,175,36,1,H,2
36,F,0,Boston,Lisa,55,4286,0,0,0,0,1,0,133,25,0,H,2
37,M,1,Montreal,Hyera,6,6930,2,0,1,0,1,0,235,32,0,H,2
38,M,1,Montreal,Hyera,7,6694,2,0,1,0,1,0,148,34,1,T,3
39,F,0,Austin,Lisa,47,6997,1,1,0,0,1,0,126,28,1,H,2
40,M,1,Washington D.C.,Lisa,45,7030,0,0,0,0,0,0,145,26,0,M,1
41,F,0,Los Angeles,Lisa,42,6242,1,1,0,0,1,0,118,28,1,T,3
42,M,1,Montreal,Hyera,23,5778,1,1,0,0,1,0,185,27,1,M,1
43,F,0,Montreal,Hyera,29,7828,2,0,1,0,1,0,140,39,1,M,1
44,M,1,Loma Linda,Lisa,45,6702,0,0,0,0,0,0,150,23,1,H,2
45,M,1,Toronto,Hyera,21,5886,1,1,0,0,1,0,162,28,0,T,3
46,F,0,San Francisco,Lisa,56,4362,0,0,0,0,1,0,120,29,0,M,1
47,M,1,Vancouver,Hyera,18,6033,1,1,0,0,1,0,187,47,0,M,1
48,M,1,Toronto,Hyera,3,6629,0,0,0,0,1,0,180,40,1,H,2
49,F,0,Washington D.C.,Lisa,59,9303,0,0,0,0,0,0,135,24,1,M,1
50,F,0,Loma Linda,Lisa,54,3726,2,0,1,0,1,0,160,27,0,H,2
51,F,0,Montreal,Hyera,2,6950,1,1,0,0,1,0,150,36,1,M,1
52,F,0,Berkeley,Giles,101,4422,1,1,0,0,1,0,157,34,1,M,1
53,F,0,Montreal,Hyera,6,5148,2,0,1,0,1,0,143,32,0,M,1
54,F,0,Montreal,Hyera,7,6386,2,0,1,0,1,0,112,36,0,L,0
55,F,0,Vancouver,Hyera,26,5625,1,1,0,0,1,0,139,34,1,H,2
56,F,0,Mountain View,Giles,100,4502,2,0,1,0,1,0,120,29,0,M,1
57,M,1,Berrien Springs,Lisa,49,2802,0,0,0,0,1,0,265,31,1,M,1
58,M,1,Pasadena,Lisa,51,4386,1,1,0,0,0,0,187,25,1,M,1
59,F,0,Minneapolis,Lisa,32,3407,2,0,1,0,1,0,160,29,1,M,1
60,M,1,Seattle,Lisa,40,6562,2,0,1,0,1,0,210,34,0,M,1
61,M,1,San Francisco,Giles,100,5281,2,0,1,0,1,0,175,25,0,M,1
62,M,1,Portland,Giles,107,1576,2,0,1,0,1,0,185,32,1,M,1
63,F,0,Loma Linda,Lisa,57,2134,0,0,0,0,1,0,225,57,1,M,1
64,M,1,New York,Hyera,12,8615,0,0,0,0,1,0,160,31,1,H,2
65,M,1,San Francisco,Giles,105,4656,2,0,1,0,1,0,215,50,1,M,1
66,M,1,San Francisco,Lisa,30,1764,0,0,0,0,1,0,195,46,1,L,0
67,M,1,Palo Alto,Giles,110,6240,2,0,1,0,1,0,160,20,0,H,2
68,F,0,Portland,Lisa,53,5104,2,0,1,0,1,0,140,30,0,M,1
69,F,0,Montreal,Hyera,1,4383,0,0,0,0,1,0,180,34,1,L,0
70,F,0,Montreal,Hyera,7,4410,2,0,1,0,1,0,120,30,0,M,1
71,F,0,Vancouver,Hyera,4,4355,2,0,1,0,1,0,120,35,0,H,2
72,F,0,Washington D.C.,Giles,109,3815,2,0,1,0,1,0,130,25,1,L,0
73,F,0,Chattanooga,Lisa,44,3605,0,0,0,0,1,0,150,28,1,L,0
74,F,0,Sacramento,Lisa,43,2220,0,0,0,0,1,0,320,34,1,L,0
75,F,0,San Mateo,Giles,106,4064,1,1,0,0,1,0,140,39,1,M,1
76,F,0,Birmingham,Lisa,33,2793,2,0,1,0,1,0,139,26,1,H,2
77,M,1,San Mateo,Giles,102,4542,1,1,0,0,1,0,155,25,1,H,2
78,F,0,Fresno,Lisa,39,3310,2,0,1,0,0,0,125,31,1,M,1
79,F,0,San Francisco,Hyera,28,3327,2,0,1,0,1,0,160,29,1,M,1
80,F,0,Loma Linda,Lisa,58,1062,1,1,0,0,0,0,130,55,0,L,0
81,F,0,Berrien Springs,Lisa,49,3133,0,0,0,0,1,0,195,28,0,M,1
82,F,0,Toronto,Hyera,3,2499,0,0,0,0,1,0,115,34,0,L,0
83,F,0,Palo Alto,Lisa,52,727,1,1,0,0,1,0,120,27,0,M,1
84,F,0,Washington D.C.,Hyera,17,1507,0,0,0,0,1,0,148,52,0,M,1
1,M,1,Minneapolis,Hyera,22,18064,0,0,0,1,1,4,160,32,1,H,2
2,M,1,New York,Hyera,13,16476,1,1,0,1,1,3,160,42,0,H,2
3,M,1,San Francisco,Giles,104,14645,1,1,0,1,1,4,155,40,1,T,3
4,F,0,New York,Hyera,16,9370,1,1,0,1,1,4,120,28,0,M,1
5,M,1,Montreal,Hyera,24,12333,0,0,0,1,1,4,155,33,1,M,1
6,M,1,New York,Hyera,16,8916,1,1,0,1,1,4,170,31,0,M,1
7,F,0,Montreal,Hyera,8,12738,0,0,0,1,1,4,140,35,1,M,1
8,F,0,San Francisco,Hyera,11,11608,1,1,0,1,1,4,125,37,1,H,2
9,M,1,Portland,Lisa,34,10892,1,1,0,1,1,2,170,30,1,T,3
10,F,0,Loma Linda,Lisa,45,11304,0,0,0,1,1,4,121,57,0,H,2
11,M,1,Falls Church,Giles,111,11705,1,1,0,1,1,4,180,27,0,L,0
12,M,1,New York,Hyera,10,8805,0,0,0,1,1,3,150,32,0,H,2
13,F,0,Montreal,Hyera,14,12805,0,0,0,1,1,4,165,35,1,H,2
14,F,0,Winnipeg,Lisa,36,10780,1,1,0,1,1,4,113,29,0,M,1
15,F,0,Napa,Lisa,31,10791,0,0,0,1,1,3,140,28,1,H,2
16,M,1,New York,Hyera,20,9884,2,0,1,1,0,0,170,34,1,M,1
17,F,0,San Francisco,Giles,103,8984,1,1,0,1,1,4,140,28,1,M,1
18,M,1,Washington D.C.,Lisa,46,11178,0,0,0,1,1,3,170,25,1,M,1
19,F,0,Los Angeles,Lisa,45,10024,0,0,0,1,1,4,117,24,0,H,2
20,M,1,Winnipeg,Lisa,36,8773,1,1,0,1,1,4,145,31,0,M,1
21,M,1,Loma Linda,Lisa,45,7501,0,0,0,1,0,0,195,57,0,M,1
22,F,0,Portland,Lisa,41,8515,2,0,1,1,1,4,130,30,1,L,0
23,M,1,Portland,Lisa,34,7261,1,1,0,1,1,3,194,31,1,M,1
24,F,0,New York,Hyera,19,9025,2,0,1,1,1,4,126,26,1,M,1
25,F,0,Spokane,Lisa,35,7886,0,0,0,1,1,3,130,28,1,H,2
26,M,1,San Francisco,Hyera,11,8282,1,1,0,1,1,4,180,30,1,L,0
27,F,0,Washington D.C.,Lisa,50,8707,1,1,0,1,1,4,135,40,1,H,2
28,M,1,Montreal,Hyera,5,7611,0,0,0,1,1,4,190,33,0,L,0
29,F,0,London,Lisa,38,8005,1,1,0,1,1,4,136,35,1,M,1
30,F,0,New York,Hyera,15,7723,2,0,1,1,1,4,110,35,0,L,0
31,F,0,Loma Linda,Lisa,58,9618,1,1,0,1,1,2,87,58,1,M,1
32,F,0,San Francisco,Giles,100,6519,2,0,1,1,1,4,115,29,1,M,1
33,M,1,Oakland,Hyera,25,8757,2,0,1,1,1,3,130,29,1,M,1
34,M,1,Montreal,Hyera,7,7211,2,0,1,1,1,4,165,30,0,M,1
35,M,1,Montreal,Hyera,14,6246,0,0,0,1,1,4,175,36,1,H,2
36,F,0,Boston,Lisa,55,7353,0,0,0,1,1,4,133,25,0,H,2
37,M,1,Montreal,Hyera,6,7182,2,0,1,1,1,4,235,32,0,H,2
38,M,1,Montreal,Hyera,7,6007,2,0,1,1,1,4,148,34,1,T,3
